sensor_id,project_id,logger_id,Negative_Days,Days_Above_9900,Days_Above_9500,Setup_days,Flat_days,Cnt_Days_10X,Cnt_Days_20X,Cnt_Days_30X,Cnt_Days_40X,Class
25179,2838,25174,0,0,0,2,0,102,0,3,2,A
25182,2842,25180,1,0,0,2,0,92,0,11,4,A
25183,2842,25180,0,8,10,2,0,87,0,11,9,A
25185,2842,25180,0,3,6,3,0,85,0,15,7,A
25188,2908,25186,0,0,0,1,0,90,1,14,2,A
25189,2908,25186,0,0,0,1,0,92,2,11,2,A
25191,2908,25186,0,0,0,3,0,91,2,11,3,A
25194,2837,25192,0,0,0,3,0,81,0,23,3,A
25195,2837,25192,3,0,0,3,0,99,0,3,5,A
25197,2837,25192,0,0,0,2,0,102,0,3,2,A
25200,2846,25198,0,0,0,2,0,103,1,1,2,A
25201,2846,25198,0,1,3,2,0,102,1,1,3,A
25203,2846,25198,0,8,9,2,0,97,0,1,9,A
25206,2847,25204,0,0,8,2,0,93,0,11,3,A
25207,2847,25204,0,0,0,2,0,94,0,11,2,A
25209,2847,25204,0,9,11,2,1,86,0,11,10,A
25212,2840,25210,0,0,0,2,0,98,1,5,3,A
25213,2840,25210,0,6,7,1,0,95,1,3,8,A
25215,2840,25210,0,0,0,3,0,99,1,3,4,A
25218,2836,25216,0,0,0,1,0,102,0,3,2,A
25219,2836,25216,0,0,0,1,0,102,1,3,1,A
25221,2836,25216,0,0,0,2,0,96,2,3,6,A
25224,2845,25222,0,0,0,1,0,82,0,24,1,A
25225,2845,25222,0,0,0,1,0,82,0,24,1,A
25227,2845,25222,0,0,0,1,0,82,0,24,1,A
25230,2844,25228,0,0,0,2,0,101,0,3,3,A
25231,2844,25228,0,0,0,1,0,102,0,3,2,A
25233,2844,25228,0,0,0,2,0,101,0,3,3,A
25236,2839,25234,0,0,0,0,0,83,0,24,0,A
25237,2839,25234,0,0,0,0,0,82,0,24,1,A
25239,2839,25234,0,0,0,2,0,81,0,24,2,A
25242,2904,25240,19,11,14,8,0,63,0,13,31,A
25243,2904,25240,33,0,0,9,25,55,0,14,38,A
25245,2904,25240,30,3,4,30,16,45,0,13,49,B
25248,2907,25246,0,0,0,0,0,96,0,11,0,A
25249,2907,25246,0,0,0,1,0,94,0,11,2,A
25251,2907,25246,0,0,0,1,0,94,0,11,2,A
25254,2906,25252,0,0,0,3,0,92,0,11,4,A
25255,2906,25252,0,0,0,3,0,91,0,11,5,A
25257,2906,25252,0,0,0,2,0,92,0,11,4,A
25260,2905,25258,0,0,2,3,0,102,0,2,3,A
25261,2905,25258,0,12,16,6,0,66,0,23,18,A
25263,2905,25258,0,7,12,2,0,97,0,2,8,A
25266,2904,25264,0,0,0,2,0,94,0,11,2,A
25267,2904,25264,0,0,0,2,0,94,0,11,2,A
25269,2904,25264,0,0,0,5,0,89,1,12,5,A
25272,2903,25270,0,0,0,1,0,103,0,2,2,A
25273,2903,25270,0,0,0,2,0,102,1,2,2,A
25275,2903,25270,0,6,10,3,0,93,1,2,11,A
25278,2902,25276,0,0,0,4,0,76,1,24,6,A
25279,2902,25276,16,0,0,2,14,70,1,19,17,A
25281,2902,25276,0,0,0,3,0,85,0,19,3,A
25284,2901,25282,0,0,0,2,0,93,0,12,2,A
25285,2901,25282,0,0,0,3,0,93,0,11,3,A
25287,2901,25282,0,0,0,3,0,92,0,11,4,A
